iter	Passed	Remaining
0	26	26907
1	59	29905
2	95	31761
3	127	31811
4	163	32561
5	204	33891
6	228	32452
7	249	30902
8	269	29701
9	294	29167
10	313	28194
11	325	26780
12	380	28855
13	386	27199
14	393	25810
15	404	24896
16	411	23780
17	421	22978
18	430	22242
19	440	21603
20	448	20902
21	459	20446
22	469	19949
23	483	19675
24	499	19466
25	512	19205
26	529	19073
27	541	18813
28	554	18570
29	567	18357
30	581	18175
31	608	18397
32	628	18423
33	647	18405
34	665	18358
35	691	18529
36	705	18373
37	722	18279
38	737	18172
39	755	18133
40	778	18198
41	799	18244
42	820	18271
43	832	18094
44	862	18309
45	880	18250
46	899	18247
47	912	18107
48	933	18114
49	964	18328
50	977	18182
51	989	18039
52	1007	18007
53	1031	18077
54	1050	18051
55	1066	17981
56	1077	17824
57	1101	17894
58	1111	17727
59	1126	17651
60	1138	17530
61	1149	17391
62	1161	17271
63	1179	17249
64	1190	17127
65	1203	17025
66	1213	16903
67	1231	16883
68	1245	16804
69	1257	16713
70	1273	16657
71	1284	16550
72	1298	16490
73	1308	16370
74	1321	16297
75	1346	16372
76	1366	16383
77	1384	16361
78	1401	16338
79	1410	16219
80	1427	16196
81	1455	16289
82	1466	16200
83	1488	16227
84	1504	16197
85	1529	16256
86	1539	16157
87	1550	16069
88	1574	16113
89	1598	16162
90	1608	16065
91	1638	16174
92	1661	16201
93	1681	16206
94	1702	16218
95	1722	16222
96	1734	16150
97	1755	16156
98	1771	16121
99	1793	16138
100	1811	16122
101	1818	16012
102	1840	16029
103	1870	16112
104	1886	16081
105	1899	16017
106	1921	16038
107	1932	15961
108	1951	15949
109	1960	15861
110	1991	15950
111	2001	15869
112	2015	15824
113	2033	15801
114	2044	15731
115	2058	15684
116	2068	15613
117	2086	15595
118	2096	15521
119	2107	15454
120	2122	15421
121	2138	15392
122	2153	15351
123	2169	15324
124	2182	15278
125	2194	15221
126	2207	15174
127	2223	15149
128	2237	15105
129	2249	15051
130	2258	14980
131	2271	14937
132	2285	14899
133	2296	14839
134	2305	14774
135	2320	14741
136	2333	14701
137	2345	14652
138	2354	14584
139	2365	14528
140	2376	14478
141	2385	14416
142	2396	14362
143	2407	14311
144	2420	14274
145	2431	14221
146	2444	14186
147	2455	14134
148	2468	14099
149	2477	14040
150	2492	14016
151	2512	14018
152	2524	13974
153	2534	13920
154	2548	13894
